drop_ref_in_null,scale,identity,digit_acc
False,0.0,0.1669,0.5938
False,1.0,0.1653,0.625
False,2.0,0.1574,0.2812
False,3.0,0.1543,0.25
True,0.0,0.1669,0.5938
True,1.0,0.1655,0.625
True,2.0,0.1575,0.2812
True,3.0,0.1543,0.2812
