arm,identity,identity_sd,shot_to_shot,digit_acc,direction_acc
text,0.1651,0.0581,0.1059,0.5703,1.0
ip,0.1672,0.0584,0.1194,0.5859,1.0
lora,0.1227,0.0602,0.0892,0.5625,1.0
real_vae,0.0511,0.0191,0.0376,0.625,nan
