alpha,attack,tpr,margin
0.08,none,1.0000,0.6734
0.08,noise,1.0000,0.5231
0.08,blur,0.5167,0.0082
0.08,rescale,0.9708,0.1479
0.08,crop,0.6958,0.0276
0.3,none,1.0000,0.9699
0.3,noise,1.0000,0.9572
0.3,blur,0.7583,0.0296
0.3,rescale,1.0000,0.3271
0.3,crop,0.9833,0.0466
