layer,name,digit,speaker
0,conv stem,0.88,0.9967
1,block 1,0.976,1.0
2,block 2,0.96,0.99
3,block 3,0.98,0.9767
4,block 4,0.976,0.99
-1,log-mel (no encoder),0.592,0.9867
