layer,name,digit,speaker
0,conv stem,0.192,0.7067
1,block 1,0.176,0.8167
2,block 2,0.304,0.75
3,block 3,0.572,0.5533
4,block 4,0.956,0.4433
-1,log-mel (no encoder),0.156,0.51
