model,side,n_inputs,ms_per_image
perceiver,16,256,2.4760961532592773
dense,16,256,5.396366119384766
perceiver,32,1024,2.6304125785827637
dense,32,1024,21.349787712097168
perceiver,64,4096,6.241321563720703
dense,64,4096,198.04221391677856
perceiver,96,9216,11.24584674835205
dense,96,9216,801.3359308242798
