condition,prefix_tokens,val_loss,val_ppl,retrieval_top1,bridge_params,ms_per_step
no-image,1,3.204921042919159,24.65355336700016,0.0225,196864,140.05585178732872
pooled-1,1,2.8883761405944823,17.964114707134772,0.3425,196864,288.79733741283417
gridpool-16,16,2.8704716563224792,17.64533877305219,0.33,196864,361.17675945162773
qformer-16,16,2.8625733971595766,17.50652024840067,0.3275,2704640,367.1542817354202
patches-50,50,2.8718404173851013,17.669507562577166,0.33,196864,408.4061059355736
