arm,infer_sigma,self_first20,self_last20,acc_first20,acc_last20,snap_last20,walls_last20,secs
noaug,0.0000,0.7458,0.3417,0.5125,0.0208,0.0852,0.6802,36.3367
aug,0.0000,0.7396,0.6729,0.3250,0.0646,0.0068,0.8272,34.8545
aug,0.0500,0.7000,0.6292,0.2917,0.0542,0.0070,0.8346,29.9109
aug,0.1500,0.7167,0.6312,0.3396,0.0729,0.0084,0.8532,35.8720
