arm,step,loss
noaug,500,0.03145
noaug,1000,0.04370
noaug,1500,0.02261
noaug,2000,0.01100
noaug,2500,0.01414
noaug,3000,0.00862
aug,500,0.12036
aug,1000,0.09431
aug,1500,0.04149
aug,2000,0.07382
aug,2500,0.04376
aug,3000,0.05450
