arm,latent_shape,latent_numbers,compression,params,psnr_db,flicker_input,flicker_recon,flicker_error,latent_scale
3d,4x4x8x8,1024,64.0,749113,20.23,0.0569,0.0409,0.0496,1.522
2d,1x16x8x8,1024,64.0,733555,19.61,0.0569,0.0427,0.0499,1.303
