key,value
A_n_files,16
A_total_lines,3565
A_total_changed,424
A_total_subs,644
A_unchanged_pct,88.1
B_subs,29
B_uses_hip_header,True
B_still_has_cuda,False
B_cuda_compiles,True
B_hip_compiles,True
B_hip_error,
B_same_structure,True
B_same_props,True
B_cuda_out,"prop,name,NVIDIA GeForce GTX 1070 Ti
prop,warpSize,32
prop,sms,19
pure,0,0.057587
div,1,0.114886
div,2,0.114893
div,4,0.114266
div,8,0.103834
div,16,0.103882
div,32,0.053534
div,64,0.054170
div,128,0.053811
div,256,0.050995
"
C_landmine_total,112
C_warpSize,32
C_pure_ms,0.049966
C_cost_below_warp,1.93
D_rel_err,1.6719825265542534e-06
D_b1_gbs,216.7
D_b1_frac_spec,0.845
D_b1_frac_measured_read,0.976
D_eff,0.845
D_ridge_flop_per_byte,32.0
D_batch_star,32.0
D_pred_tok_s_at_B32,206452.0
D_got_tok_s_at_B32,39728.0
D_batching_shortfall,5.2
D_peak_gflops_seen,2694.0
D_frac_of_peak_flops,0.329
D_serial_64_ms,10.014
D_batched_64_ms,1.0644
D_batching_speedup,9.41
E_h100_gpus_needed,2
E_h100_over_mi300x_speed,1.26
E_mi300x_over_h100_value,1.6
E_flops_ratio,1.31
E_bw_ratio,1.58
runtime_s,14.2

B,ms,weight_passes,GB/s (kernel),GB/s (ideal),GFLOP/s,tok/s,AI
1,0.155,1,216.7,216.7,217.0,6453.0,1.0
16,0.6489,1,52.5,52.5,827.0,24659.0,15.75
32,0.8055,1,43.0,43.0,1333.0,39728.0,31.03
64,1.0644,1,33.5,33.5,2018.0,60128.0,60.24
128,2.2465,2,31.7,16.8,1912.0,56978.0,113.78
256,3.7897,4,37.6,11.1,2267.0,67551.0,204.8
512,6.3774,8,44.7,7.9,2694.0,80283.0,341.33

accel,fmt,need_gb,gpus,tok_s,tok_s_per_dollar,batch_star
NVIDIA A100 80GB,fp16,148.0,2,24.6,8.2,153.0
NVIDIA A100 80GB,int8,78.0,1,24.6,16.4,77.0
NVIDIA A100 80GB,int4,47.2,1,44.0,29.3,43.0
NVIDIA H100 SXM,fp16,148.0,2,40.4,6.7,296.0
NVIDIA H100 SXM,int8,78.0,1,40.4,13.5,148.0
NVIDIA H100 SXM,int4,47.2,1,72.2,24.1,83.0
NVIDIA H200 SXM,fp16,148.0,2,57.9,5.8,206.0
NVIDIA H200 SXM,int8,78.0,1,57.9,11.6,103.0
NVIDIA H200 SXM,int4,47.2,1,103.5,20.7,58.0
NVIDIA B200 SXM,fp16,148.0,1,48.3,6.0,281.0
NVIDIA B200 SXM,int8,78.0,1,96.6,12.1,141.0
NVIDIA B200 SXM,int4,47.2,1,172.4,21.6,79.0
AMD MI300X,fp16,148.0,1,32.0,10.7,245.0
AMD MI300X,int8,78.0,1,64.0,21.3,123.0
AMD MI300X,int4,47.2,1,114.2,38.1,69.0
AMD MI325X,fp16,148.0,1,36.2,9.1,217.0
AMD MI325X,int8,78.0,1,72.4,18.1,108.0
AMD MI325X,int4,47.2,1,129.3,32.3,61.0
Google TPU v5p,fp16,148.0,2,33.4,4.0,166.0
Google TPU v5p,int8,78.0,1,33.4,7.9,83.0
Google TPU v5p,int4,47.2,1,59.6,14.2,46.0
Apple M4 Max (128GB),fp16,148.0,2,6.6,,31.0
Apple M4 Max (128GB),int8,78.0,1,6.6,,16.0
Apple M4 Max (128GB),int4,47.2,1,11.8,,9.0
NVIDIA RTX 4090,fp16,148.0,7,42.6,3.0,164.0
NVIDIA RTX 4090,int8,78.0,4,48.7,6.1,82.0
NVIDIA RTX 4090,int4,47.2,2,43.5,10.9,46.0
