policy,budget,ppl,bytes
recent,64,1346.1838901115989,1572864
sink_recent,64,39.94707168843747,1572864
h2o_sink,64,29.939056083421715,1572864
recent,256,1283.42386753445,6291456
sink_recent,256,23.931955183257784,6291456
h2o_sink,256,15.338745968006254,6291456
recent,512,866.6648624670033,12582912
sink_recent,512,22.414851719993976,12582912
h2o_sink,512,6.817945154005365,12582912
