arm,step,train_loss
mlp2,24,3.50963
mlp2,25,4.00506
mlp2,26,3.36108
mlp2,27,3.09357
mlp2,28,3.17132
mlp2,29,3.22432
mlp2,30,3.30581
mlp2,31,3.02972
mlp2,32,3.19903
mlp2,33,3.38532
mlp2,34,3.54296
mlp2,35,3.45234
mlp2,36,3.63352
mlp2,37,3.40282
mlp2,38,2.90991
mlp2,39,3.39599
mlp2,40,3.27962
mlp2,41,3.10154
mlp2,42,3.85591
mlp2,43,3.86337
mlp2,44,3.38558
mlp2,45,3.73275
mlp2,46,3.52883
mlp2,47,2.85893
mlp2,48,3.43538
mlp2,49,2.89679
mlp2,50,2.75435
mlp2,51,3.33087
mlp2,52,3.23970
mlp2,53,3.10949
mlp2,54,3.44175
mlp2,55,3.63620
mlp2,56,3.05873
mlp2,57,3.22523
mlp2,58,3.41401
mlp2,59,3.49325
mlp2,60,3.35782
mlp2,61,3.62576
mlp2,62,3.63100
mlp2,63,3.16107
mlp2,64,3.89323
mlp2,65,3.15426
mlp2,66,3.60486
mlp2,67,3.40453
mlp2,68,2.63603
mlp2,69,2.93796
mlp2,70,3.35946
mlp2,71,2.96598
mlp2,72,3.66900
mlp2,73,3.47745
mlp2,74,3.00540
mlp2,75,3.15743
mlp2,76,3.56750
mlp2,77,3.33393
mlp2,78,4.03697
mlp2,79,3.77856
mlp2,80,3.06302
mlp2,81,3.09006
mlp2,82,3.30106
mlp2,83,3.29657
mlp2,84,3.77343
mlp2,85,3.10628
mlp2,86,3.28926
mlp2,87,3.41152
mlp2,88,4.22378
mlp2,89,3.84138
mlp2,90,4.22075
mlp2,91,3.21812
mlp2,92,3.10524
mlp2,93,3.37197
mlp2,94,3.74425
mlp2,95,3.12276
mlp2,96,3.44816
mlp2,97,2.89395
mlp2,98,3.71494
mlp2,99,3.20606
mlp2,100,3.09333
mlp2,101,3.17949
mlp2,102,3.18391
mlp2,103,3.46934
mlp2,104,3.66648
mlp2,105,3.06911
mlp2,106,3.72410
mlp2,107,3.61551
mlp2,108,3.64867
mlp2,109,3.29045
