arm,step,loss
k4,500,0.00941
k4,1000,0.00507
k4,1500,0.00483
k4,2000,0.00566
k4,2500,0.00420
k8,500,0.01017
k8,1000,0.00500
k8,1500,0.00341
k8,2000,0.00478
k8,2500,0.00324
k16,500,0.01068
k16,1000,0.00631
k16,1500,0.00531
k16,2000,0.00462
k16,2500,0.00410
oracle,500,0.00076
oracle,1000,0.00008
oracle,1500,0.00006
oracle,2000,0.00044
oracle,2500,0.00006
greedy,500,0.00732
greedy,1000,0.00544
greedy,1500,0.00335
greedy,2000,0.00216
greedy,2500,0.00232
