experiment,name,value,wrap,pos_err,head_err_deg,lost,scale,nees,nis,layout,n_landmarks,sigma_worst,sigma_best,anisotropy,head_sigma_deg,ekf_cov_relerr,ukf_cov_relerr,ekf_mean_off,ukf_mean_off,stride,filt,sec_per_run,spacing,mode,wrong,used
1,distance_m,107.80739885399485,,,,,,,,,,,,,,,,,,,,,,,,
1,odom_final_pos_err,4.176806129935283,,,,,,,,,,,,,,,,,,,,,,,,
1,ekf_final_pos_err,1.458138782369705,,,,,,,,,,,,,,,,,,,,,,,,
1,odom_max_pos_err,4.758060605223847,,,,,,,,,,,,,,,,,,,,,,,,
1,ekf_max_pos_err,1.8915435834688357,,,,,,,,,,,,,,,,,,,,,,,,
1,odom_final_head_deg,23.94693866411604,,,,,,,,,,,,,,,,,,,,,,,,
1,ekf_final_head_deg,3.7743064212338053,,,,,,,,,,,,,,,,,,,,,,,,
1,mean_nees,3.3748948522150477,,,,,,,,,,,,,,,,,,,,,,,,
2,jacobian_G_err,1.5019963939266745e-08,,,,,,,,,,,,,,,,,,,,,,,,
2,jacobian_V_err,7.931470236144378e-08,,,,,,,,,,,,,,,,,,,,,,,,
2,jacobian_H_err,3.182327734663204e-09,,,,,,,,,,,,,,,,,,,,,,,,
2,err_correct_H,0.21749081923238764,,,,,,,,,,,,,,,,,,,,,,,,
2,err_sign_flipped_H,17.754480437580025,,,,,,,,,,,,,,,,,,,,,,,,
3,wrap_comparison,,True,0.28297505309449444,3.086863844941468,0,,,,,,,,,,,,,,,,,,,,
3,wrap_comparison,,False,1.6786120592127494,22.715099607150478,21,,,,,,,,,,,,,,,,,,,,
4,q_scale,,,0.4125442353998284,,,0.04,39.90225638316379,2.623152787693668,,,,,,,,,,,,,,,,,
4,q_scale,,,0.4023998529143668,,,0.2,9.874749058714919,2.211608357725637,,,,,,,,,,,,,,,,,
4,q_scale,,,0.34918510963487526,,,1.0,3.043885672820486,2.008456496155761,,,,,,,,,,,,,,,,,
4,q_scale,,,0.37536348696412764,,,5.0,1.7100294948193757,1.794077173779277,,,,,,,,,,,,,,,,,
4,q_scale,,,0.39453545776900945,,,25.0,1.6825234370281594,1.608952402754925,,,,,,,,,,,,,,,,,
5,geometry,,,0.4746941341279242,2.672985204523211,,,,,one,1,1.3353845525693457,0.5816808154507921,2.2957342190053955,,,,,,,,,,,,
5,geometry,,,0.1291736023799827,1.2606630232795921,,,,,two,2,0.31455835990772096,0.06808765274169143,4.619903128414215,,,,,,,,,,,,
5,geometry,,,0.056539909287671594,0.8552412208759738,,,,,spread,6,0.07927807281961188,0.054297355912653146,1.4600724379128998,,,,,,,,,,,,
5,geometry,,,0.08475094242888362,0.8536080098385324,,,,,collinear,6,0.19480832780189036,0.0539413425982541,3.6114845945305714,,,,,,,,,,,,
6,prediction_quality,,,,,,,,,,,,,,5,0.007157872063092656,0.00427252195776329,0.017321408283053952,0.0010377550341496256,,,,,,,
6,prediction_quality,,,,,,,,,,,,,,15,0.0762419557058798,0.03988655663545593,0.1521681625496323,0.0013258593222322751,,,,,,,
6,prediction_quality,,,,,,,,,,,,,,30,0.3202652698026931,0.154265773462944,0.5836266798686995,0.009437950188244138,,,,,,,
6,prediction_quality,,,,,,,,,,,,,,45,0.7618926665949665,0.31944324754256836,1.2042546076753573,0.06253048731532175,,,,,,,
6,prediction_quality,,,,,,,,,,,,,,60,1.3770031212596283,0.4628359212532353,1.909292620088327,0.18821740030827236,,,,,,,
6,end_to_end,,,0.1211238081209744,,,,,,,,,,,,,,,,1,EKF,0.18228590488433838,,,,
6,end_to_end,,,0.1147554942764464,,,,,,,,,,,,,,,,1,UKF,0.48695850372314453,,,,
6,end_to_end,,,0.4792311204339231,,,,,,,,,,,,,,,,30,EKF,0.08767215410868327,,,,
6,end_to_end,,,0.3966435205050011,,,,,,,,,,,,,,,,30,UKF,0.20281289021174112,,,,
6,end_to_end,,,0.8938977923269489,,,,,,,,,,,,,,,,80,EKF,0.08867156505584717,,,,
6,end_to_end,,,0.9212137958947427,,,,,,,,,,,,,,,,80,UKF,0.19547516107559204,,,,
6,end_to_end,,,1.415041418742639,,,,,,,,,,,,,,,,150,EKF,0.08432237307230632,,,,
6,end_to_end,,,1.9349300789289332,,,,,,,,,,,,,,,,150,UKF,0.19464661677678427,,,,
7,association,,,0.6496084235410842,,1,,,,,6,,,,,,,,,,,,6.750774729069295,known,0.0,1063.75
7,association,,,0.6496084235410842,,1,,,,,6,,,,,,,,,,,,6.750774729069295,nn,0.0,1063.75
7,association,,,0.6513335218666108,,1,,,,,6,,,,,,,,,,,,6.750774729069295,nn+gate,0.0,1053.875
7,association,,,0.43572027987733686,,0,,,,,20,,,,,,,,,,,,2.6003063453579363,known,0.0,4193.375
7,association,,,0.4759092296614389,,1,,,,,20,,,,,,,,,,,,2.6003063453579363,nn,18.0,4193.375
7,association,,,0.444918613130739,,0,,,,,20,,,,,,,,,,,,2.6003063453579363,nn+gate,23.5,4151.0
7,association,,,0.2898354219079765,,0,,,,,60,,,,,,,,,,,,1.5767750712942308,known,0.0,14185.125
7,association,,,0.28922034704237864,,0,,,,,60,,,,,,,,,,,,1.5767750712942308,nn,739.25,14185.125
7,association,,,0.29162155523479916,,0,,,,,60,,,,,,,,,,,,1.5767750712942308,nn+gate,733.125,14067.75
7,association,,,0.25260445839169254,,0,,,,,150,,,,,,,,,,,,0.9426806111547209,known,0.0,33574.875
7,association,,,0.2598289671280079,,0,,,,,150,,,,,,,,,,,,0.9426806111547209,nn,3787.875,33574.875
7,association,,,0.26041961572264005,,0,,,,,150,,,,,,,,,,,,0.9426806111547209,nn+gate,3761.125,33408.875
