model,steps,ms_per_clip,text_alignment,subject_consistency,motion_smoothness,imaging_quality,background_stability,overall
teacher,30,13.70,1.0000,0.9253,0.7910,0.9175,0.7239,0.8715
teacher,8,3.70,0.9989,0.9201,0.7894,0.9055,0.7147,0.8657
teacher,4,1.85,0.9944,0.9138,0.7785,0.8871,0.6992,0.8546
teacher,2,0.91,0.9300,0.8833,0.6909,0.8477,0.6394,0.7983
teacher,1,0.49,0.7133,0.8034,0.6809,0.6894,0.6685,0.7111
student,4,0.93,0.9211,0.9309,0.7911,0.8818,0.7492,0.8548
student,1,0.29,0.8311,0.9175,0.8005,0.7079,0.7778,0.8069
