arm,step,train_loss
layer-last,15,3.46725
layer-last,16,4.10048
layer-last,17,4.11859
layer-last,18,3.17909
layer-last,19,3.71784
layer-last,20,3.80250
layer-last,21,3.52662
layer-last,22,3.37460
layer-last,23,3.45991
layer-last,24,3.56122
layer-last,25,3.96530
layer-last,26,3.50546
layer-last,27,3.20867
layer-last,28,3.23318
layer-last,29,3.25728
layer-last,30,3.40189
layer-last,31,3.05615
layer-last,32,3.23689
layer-last,33,3.36849
layer-last,34,3.51300
layer-last,35,3.48183
layer-last,36,3.67081
layer-last,37,3.40805
layer-last,38,3.00707
layer-last,39,3.50149
layer-last,40,3.45535
layer-last,41,3.12543
layer-last,42,3.86617
layer-last,43,3.79752
layer-last,44,3.37290
layer-last,45,3.72231
layer-last,46,3.50366
layer-last,47,2.85386
layer-last,48,3.44485
layer-last,49,2.91636
layer-last,50,2.70025
layer-last,51,3.36159
layer-last,52,3.33674
layer-last,53,3.06575
layer-last,54,3.41068
layer-last,55,3.66786
layer-last,56,3.11039
layer-last,57,3.22773
layer-last,58,3.38680
layer-last,59,3.49776
layer-last,60,3.33123
layer-last,61,3.57862
layer-last,62,3.60550
layer-last,63,3.19808
layer-last,64,3.79119
layer-last,65,3.21793
layer-last,66,3.55336
layer-last,67,3.48470
layer-last,68,2.59970
layer-last,69,2.96401
layer-last,70,3.35055
layer-last,71,2.98485
layer-last,72,3.60551
layer-last,73,3.42345
layer-last,74,2.98070
layer-last,75,3.11873
layer-last,76,3.51254
layer-last,77,3.34788
layer-last,78,4.01778
layer-last,79,3.68208
layer-last,80,3.03597
layer-last,81,3.02830
layer-last,82,3.24322
layer-last,83,3.26327
layer-last,84,3.80970
layer-last,85,3.10466
layer-last,86,3.24943
layer-last,87,3.43094
layer-last,88,4.06102
layer-last,89,3.76130
layer-last,90,4.21184
layer-last,91,3.21208
layer-last,92,3.08955
layer-last,93,3.30371
layer-last,94,3.74192
layer-last,95,3.10862
layer-last,96,3.40571
layer-last,97,2.85938
layer-last,98,3.67962
layer-last,99,3.04976
layer-last,100,3.04330
layer-last,101,3.09528
layer-last,102,3.21039
layer-last,103,3.40323
layer-last,104,3.72130
layer-last,105,3.06071
layer-last,106,3.69234
layer-last,107,3.54363
layer-last,108,3.54096
layer-last,109,3.27525
layer-last,110,3.13573
layer-last,111,3.24067
layer-last,112,3.52840
layer-last,113,3.22845
layer-last,114,3.32711
layer-last,115,2.97273
layer-last,116,3.44014
layer-last,117,3.10831
layer-last,118,3.47096
layer-last,119,3.05323
layer-last,120,3.32606
layer-last,121,3.95885
layer-last,122,3.10945
layer-last,123,3.48411
layer-last,124,3.00523
layer-last,125,3.71260
layer-last,126,3.49994
layer-last,127,3.63416
layer-last,128,3.24262
layer-last,129,3.17351
layer-last,130,3.26943
layer-last,131,3.28569
layer-last,132,3.06396
layer-last,133,3.56938
layer-last,134,3.39306
layer-last,135,3.26822
layer-last,136,3.34073
layer-last,137,3.07005
layer-last,138,3.53704
layer-last,139,3.14044
layer-last,140,3.38223
layer-last,141,3.48427
layer-last,142,3.22027
layer-last,143,3.18798
layer-last,144,3.00517
layer-last,145,3.31062
layer-last,146,3.29560
layer-last,147,3.22100
layer-last,148,3.96244
layer-last,149,3.58724
layer-last,150,3.21976
layer-last,151,3.02730
layer-last,152,3.14477
layer-last,153,3.40634
layer-last,154,3.34077
layer-last,155,3.18739
layer-last,156,3.32918
layer-last,157,2.98614
layer-last,158,3.59558
layer-last,159,3.96648
layer-last,160,2.89255
layer-last,161,3.60608
layer-last,162,2.87558
layer-last,163,2.95936
layer-last,164,3.42413
layer-last,165,3.88708
layer-last,166,3.43651
layer-last,167,2.94870
layer-last,168,2.98017
layer-last,169,3.59928
layer-last,170,2.97486
layer-last,171,3.33564
layer-last,172,2.72783
layer-last,173,3.25774
layer-last,174,3.33894
layer-last,175,3.25961
layer-last,176,2.96950
layer-last,177,3.17849
layer-last,178,2.92375
layer-last,179,3.94685
layer-last,180,2.95133
layer-last,181,3.30669
layer-last,182,3.29200
layer-last,183,2.77388
layer-last,184,3.28337
layer-last,185,3.36804
layer-last,186,3.33858
layer-last,187,3.28495
layer-last,188,3.43334
layer-last,189,3.47037
layer-last,190,3.28682
layer-last,191,3.47918
layer-last,192,3.44779
layer-last,193,3.23029
layer-last,194,3.06306
layer-last,195,3.18116
layer-last,196,3.21898
layer-last,197,3.35176
layer-last,198,3.20711
layer-last,199,2.89686
