batch_size,chance_loss_lnN,loss_random_emb,loss_real_clip,acc_random_emb,acc_real_clip,chance_acc,mi_lower_bound_nats,mi_ceiling_nats
8,2.0794,2.046,0.6739,0.125,1.0,0.125,1.4055,2.0794
16,2.7726,2.786,1.2074,0.125,1.0,0.0625,1.5651,2.7726
32,3.4657,3.5202,1.5819,0.125,0.9688,0.03125,1.8839,3.4657
64,4.1589,4.3211,2.2479,0.0469,0.9375,0.01562,1.911,4.1589
128,4.852,5.0405,2.96,0.0312,0.8047,0.00781,1.892,4.852
256,5.5452,5.768,3.5997,0.0078,0.7305,0.00391,1.9455,5.5452
512,6.2383,6.438,4.258,0.002,0.6289,0.00195,1.9804,6.2383
1000,6.9078,7.1292,4.9036,0.001,0.548,0.001,2.0042,6.9078
