tau,loss,in_batch_acc,top1_share,top10_share,negatives_for_half_the_push,effective_negatives
0.01,0.9338,0.7305,0.5698,0.9529,1,2.7
0.07,3.5997,0.7305,0.0215,0.131,74,178.5
0.2,4.8236,0.7305,0.0073,0.0611,109,245.8
1.0,5.3979,0.7305,0.0044,0.0429,124,254.6
