experiment,achieved_speed_range,lap_time,mean_abs_lat,max_abs_lat,mean_speed,ms_per_step,max_ms,a_brake,N,horizon_s,braking_time_needed_s,off_track_frac,finished,profile_speed_drop,need_at_3,need_at_6,need_at_12,d_rate,plant,a_lat_target,controller,track_half_width,constraint,solver_fail_frac,compensated,delay_steps,delay_ms
4_vs_pp,,,2.266,6.772,,0.292,,,,,,0.246,,,,,,,,9.0,pure pursuit + speed P,,,,,,
4_narrow,,16.3,0.315,1.028,,20.88,,,,,,0.0,,,,,,,,,"MPC, no bounds",1.2,,,,,
4_narrow,,16.3,0.315,1.028,,29.48,,,,,,0.0,,,,,,,,,"MPC, soft bounds",1.2,,,,,
4_narrow,,,0.33,1.321,,0.3,,,,,,0.073,,,,,,,,,pure pursuit,1.2,,,,,
5_bounds,,16.3,,1.028,,20.8,,,,,,0.0,,,,,,,,6.0,,,no constraint,0.0,,,
5_bounds,,,,11.36,,22.3,,,,,,0.219,,,,,,,,7.5,,,no constraint,0.0,,,
5_bounds,,,,15.588,,23.8,,,,,,0.458,,,,,,,,9.0,,,no constraint,0.0,,,
5_bounds,,,,16.429,,26.5,,,,,,0.829,,,,,,,,11.0,,,no constraint,0.0,,,
5_bounds,,16.3,,1.028,,22.6,,,,,,0.0,,,,,,,,6.0,,,hard constraint,0.0,,,
5_bounds,,,,11.745,,59.2,,,,,,0.922,,,,,,,,7.5,,,hard constraint,0.932,,,
5_bounds,,,,16.017,,81.4,,,,,,0.746,,,,,,,,9.0,,,hard constraint,0.8,,,
5_bounds,,,,16.226,,82.7,,,,,,0.809,,,,,,,,11.0,,,hard constraint,0.824,,,
5_bounds,,16.3,,1.028,,30.4,,,,,,0.0,,,,,,,,6.0,,,soft (penalised) constraint,0.0,,,
5_bounds,,,,11.831,,32.8,,,,,,0.206,,,,,,,,7.5,,,soft (penalised) constraint,0.0,,,
5_bounds,,,,13.158,,39.2,,,,,,0.624,,,,,,,,9.0,,,soft (penalised) constraint,0.0,,,
5_bounds,,,,17.168,,44.9,,,,,,0.822,,,,,,,,11.0,,,soft (penalised) constraint,0.0,,,
6_latency,,16.3,0.036,0.301,,,,,,,,0.0,1,,,,,,kin,,,,,,0,0,0
6_latency,,16.2,0.484,2.273,,,,,,,,0.0,1,,,,,,kin,,,,,,0,1,100
6_latency,,,4.248,10.954,,,,,,,,0.496,0,,,,,,kin,,,,,,0,2,200
6_latency,,,5.606,14.358,,,,,,,,0.564,0,,,,,,kin,,,,,,0,3,300
6_latency,,16.3,0.036,0.301,,,,,,,,0.0,1,,,,,,kin,,,,,,1,0,0
6_latency,,16.3,0.033,0.245,,,,,,,,0.0,1,,,,,,kin,,,,,,1,1,100
6_latency,,16.0,0.876,3.961,,,,,,,,0.0,1,,,,,,kin,,,,,,1,2,200
6_latency,,,2.059,10.306,,,,,,,,0.105,0,,,,,,kin,,,,,,1,3,300
6_latency,,16.3,0.315,1.028,,,,,,,,0.0,1,,,,,,dyn,,,,,,0,0,0
6_latency,,16.2,0.36,1.424,,,,,,,,0.0,1,,,,,,dyn,,,,,,0,1,100
6_latency,,,2.496,16.145,,,,,,,,0.146,0,,,,,,dyn,,,,,,0,2,200
6_latency,,,5.197,11.536,,,,,,,,0.604,0,,,,,,dyn,,,,,,0,3,300
6_latency,,16.3,0.315,1.028,,,,,,,,0.0,1,,,,,,dyn,,,,,,1,0,0
6_latency,,16.3,0.377,1.184,,,,,,,,0.0,1,,,,,,dyn,,,,,,1,1,100
6_latency,,,4.579,14.282,,,,,,,,0.401,0,,,,,,dyn,,,,,,1,2,200
6_latency,,,5.103,10.555,,,,,,,,0.546,0,,,,,,dyn,,,,,,1,3,300
