lora_scale,style_score,plain_score,digit_acc,direction_acc
0.0,0.025,0.7,0.275,1.0
0.5,0.35,0.125,0.25,1.0
1.0,0.95,0.0,0.15,1.0
1.5,1.0,0.0,0.125,1.0
2.0,0.775,0.0,0.025,1.0
