section,key,value
A,naive_passed,2
A,eager_passed,1
A,streaming_passed,8
A,n,8
B,naive_detection_rate,0.0326
B,eager_mean_leak_chars,6.94
B,eager_max_leak,48
B,streaming_accuracy,1.0
B,streaming_max_hold,5
B,bound_violations,0
D,rescan_over_incremental@1000,0.39
D,rescan_over_incremental@2000,0.68
D,rescan_over_incremental@4000,2.08
D,rescan_over_incremental@8000,6.66
D,rescan_over_incremental@16000,13.83
E,streaming_tokens_used,6
E,naive_tokens_used,48
E,decode_steps_saved,42
