experiment,name,value,excite,rms_accel,scale_ratio,scale_spread,final_err,reported_sigma,mode,pos_err,att_err_deg,tilt_deg,form,seconds,err_at_return,peak_err,recovery_s,offset_ms,rate,flight,spread
1,distance,64.98464405809207,,,,,,,,,,,,,,,,,,,
1,imu_only_final,226.56384855057027,,,,,,,,,,,,,,,,,,,
1,camera_only_final,17.07379631072692,,,,,,,,,,,,,,,,,,,
1,vio_final,0.20353088940637792,,,,,,,,,,,,,,,,,,,
1,vio_mean,0.16356151250537118,,,,,,,,,,,,,,,,,,,
1,imu_att_mean_deg,2.9061644594666514,,,,,,,,,,,,,,,,,,,
1,vio_att_mean_deg,0.1587629401054087,,,,,,,,,,,,,,,,,,,
2,scale_observability,,0.0,0.0,1.253773015678834,0.1291170878806265,10.160270351569565,0.04575283222440769,,,,,,,,,,,,,
2,scale_observability,,0.02,0.011719730088345705,1.2307934830131344,0.1551723669909943,9.240437693182374,0.04380579792791916,,,,,,,,,,,,,
2,scale_observability,,0.05,0.02929932522086427,1.2042331232513206,0.13923109899851888,8.167702980971553,0.04454564008769724,,,,,,,,,,,,,
2,scale_observability,,0.15,0.08789797566259282,1.1419846074346311,0.10167094449613825,5.666702373920187,0.03554517232180198,,,,,,,,,,,,,
2,scale_observability,,0.4,0.23439460176691415,1.0421457747110467,0.020810208509109217,1.695304138271534,0.03246692262823143,,,,,,,,,,,,,
2,scale_observability,,1.0,0.5859865044172854,1.0008190415627676,0.010390417740531722,0.6813144090278763,0.06454757335265858,,,,,,,,,,,,,
3,bias_handling,,,,,,,,estimate them,0.37376859242886007,0.15536086934936671,,,,,,,,,,
3,bias_handling,,,,,,,,assume zero,1.212073951357013,0.18321886057580736,,,,,,,,,,
3,bias_handling,,,,,,,,perfectly known,0.3021071804291217,0.15244184256539525,,,,,,,,,,
3,ba_settle_s,7.5,,,,,,,,,,,,,,,,,,,
3,bg_settle_s,6.35,,,,,,,,,,,,,,,,,,,
4,error_state,,,,,,,,,0.3881340970620556,0.1583326236424901,1.0,error-state,,,,,,,,
4,error_state,,,,,,,,,0.4948257495101669,0.15751220682649011,1.0,direct,,,,,,,,
4,error_state,,,,,,,,,0.3043624007097985,0.16490975964134202,5.0,error-state,,,,,,,,
4,error_state,,,,,,,,,0.5524268092097024,0.16161701619812896,5.0,direct,,,,,,,,
4,error_state,,,,,,,,,0.47652533472249314,0.1754096595305606,15.0,error-state,,,,,,,,
4,error_state,,,,,,,,,0.5063215420697793,0.17688010319251762,15.0,direct,,,,,,,,
4,error_state,,,,,,,,,0.8657936306724485,0.21634725571797145,40.0,error-state,,,,,,,,
4,error_state,,,,,,,,,0.8603044836586937,0.22307634101124607,40.0,direct,,,,,,,,
5,dropout,,,,,,,0.061491415664411186,,,,,,0.0,0.39161490811448596,0.46709847499682083,2.3600000000000003,,,,
5,dropout,,,,,,,0.0677880472757108,,,,,,0.5,0.48448383443013615,0.5372572598086723,0.79375,,,,
5,dropout,,,,,,,0.05544377635902806,,,,,,1.0,0.4974920330977027,0.5222173033770471,1.2625,,,,
5,dropout,,,,,,,0.07980965731425067,,,,,,2.0,0.6575035895702462,0.7103815089712398,4.64,,,,
5,dropout,,,,,,,0.25200705027843656,,,,,,4.0,0.542095446054541,0.7881324232935297,0.0,,,,
5,dropout,,,,,,,1.2012194616677083,,,,,,8.0,2.0191145352758184,3.6832006898695995,nan,,,,
6,time_offset,,,,,,,,,0.7402784925781525,0.8272092028508696,,,,,,,-40.0,,,
6,time_offset,,,,,,,,,0.8393232804767919,0.4353758652236263,,,,,,,-20.0,,,
6,time_offset,,,,,,,,,0.3582170004127852,0.2520545224652697,,,,,,,-10.0,,,
6,time_offset,,,,,,,,,0.7712434722442635,0.18875419691391812,,,,,,,-5.0,,,
6,time_offset,,,,,,,,,0.46802742317091045,0.1533608916120494,,,,,,,0.0,,,
6,time_offset,,,,,,,,,0.44975825666600994,0.1968087034133941,,,,,,,5.0,,,
6,time_offset,,,,,,,,,0.3747859003223622,0.2621417826634649,,,,,,,10.0,,,
6,time_offset,,,,,,,,,0.4058724580897106,0.42797290931807797,,,,,,,20.0,,,
6,time_offset,,,,,,,,,0.5752919379785947,0.8192506644773149,,,,,,,40.0,,,
7,imu_rate,,,,,,,,,0.3829980258398848,0.14977487781969326,,,0.36091335614522296,,,,,50.0,gentle,0.1371745358629355
7,imu_rate,,,,,,,,,1.813418762282182,0.16030083587553165,,,0.3510894775390625,,,,,50.0,brisk,0.5170337101476141
7,imu_rate,,,,,,,,,0.5328295109442206,0.15488926466134828,,,0.5197054545084635,,,,,100.0,gentle,0.1947620703416479
7,imu_rate,,,,,,,,,2.2736849632960365,0.19325599478945477,,,0.506736159324646,,,,,100.0,brisk,1.0314039370735448
7,imu_rate,,,,,,,,,0.6356900066262149,0.15571878509146356,,,0.9043997128804525,,,,,200.0,gentle,0.21326743597809683
7,imu_rate,,,,,,,,,1.7350247475377785,0.18242737073110135,,,0.8997462590535482,,,,,200.0,brisk,0.5049917684132856
7,imu_rate,,,,,,,,,0.32794616507106134,0.1602063938279192,,,1.6677626371383667,,,,,400.0,gentle,0.14746819284468818
7,imu_rate,,,,,,,,,1.6914520155778334,0.18347387256755984,,,1.6771934429804485,,,,,400.0,brisk,0.39007052450886853
7,imu_rate,,,,,,,,,0.4836843848221292,0.16346780205020325,,,3.219165563583374,,,,,800.0,gentle,0.2370101202739767
7,imu_rate,,,,,,,,,2.083803760301785,0.19207549921958636,,,3.22197425365448,,,,,800.0,brisk,0.8100488396577824
