variant,fusion_params,acc,ms_per_step,seconds,kind0,kind1,kind2,kind3,kind4
concat,1003024,0.526,36.26406879425049,90.66017198562622,0.6,0.503,0.548,0.27,0.709
image-token,1015824,0.5228,56.985280418395995,142.46320104599,0.589,0.506,0.556,0.251,0.712
projector,817168,0.6624,85.31449012756347,213.2862253189087,1.0,0.478,0.572,0.262,1.0
cross-attn,950034,0.6624,60.12841377258301,150.32103443145752,1.0,0.488,0.574,0.25,1.0
