label,bits,ppl,ppl_delta_pct,stored_bytes,bytes_vs_fp32,top1_agreement,first_disagreement_step,median_step_s,k_err,v_err
fp32 (baseline),32,13.543171361604635,0.0,10223616,1.0,1.0,,0.08895612551714294,0.0,0.0
bf16,16,13.568756269588363,0.18891371378687344,5111808,0.5,0.99375,52,0.09060751798097044,0.0002565973514401399,2.4080163021663222e-06
fp8 e4m3,8,14.546676741236363,7.409677931689621,2555904,0.25,0.91875,5,0.0961568005150184,0.056310432602499086,0.000625223858429409
fp8 e5m2,8,17.00420982359536,25.55559823899807,2555904,0.25,0.8,5,0.09095075700315647,0.3375495692227454,0.002462763341422243
int8 per-tensor,8,14.771889837794948,9.07260525163089,2556096,0.2500187800480769,0.86875,5,0.09475214101257734,0.020261335342701713,0.00022621706310928916
int8 per-token,8,15.124946147036974,11.67950063687982,2715648,0.265625,0.8875,5,0.0927861510135699,0.010983645298438205,4.765704717066593e-05
int8 per-channel,8,13.590437241838414,0.34900156670673954,2580480,0.25240384615384615,0.95625,22,0.09137507001287304,0.007832608340232238,0.0015844029172804614
int4 per-token,4,57.24242014179962,322.6662914720542,1437696,0.140625,0.5125,3,0.0934046995243989,1.6052968074566651,0.016415826464851156
"int4, K only",4,53.48061496579556,294.8898934958098,5830656,0.5703125,0.46875,0,0.09135315351886675,1.6075750955739145,0.0
"int4, V only",4,14.19089556134851,4.782662660388362,5830656,0.5703125,0.94375,25,0.09176479952293448,0.0,0.016101839760484484
int4 + fp32 sink,4,60.76621817296252,348.6852934995482,1437696,0.140625,0.48125,0,0.09510846249759197,1.6003799801099443,0.015746084312305748
