experiment,name,value,sigma,rmse,q,nis,bias,error,reported_sigma,error_over_sigma,nis_A,nis_B,mean_innov_A
1,sensor_A_mean,21.02289470948991,0.10606601717798213,,,,,,,,,,
1,sensor_B_mean,20.955748450058337,0.035355339059327376,,,,,,,,,,
1,plain_average,20.989321579774124,nan,,,,,,,,,,
1,weighted_average,20.96246307600149,0.03354101966249685,,,,,,,,,,
1,kalman_filter,20.962460717724664,0.03354101777581464,,,,,,,,,,
1,kf_minus_weighted,2.3582768271523946e-06,nan,,,,,,,,,,
1,one_shot_fused_sigma,0.4743416490252569,nan,,,,,,,,,,
2,reported_sigma,0.14999983125028477,,,,,,,,,,,
2,actual_sigma,0.14988838089962223,,,,,,,,,,,
2,ratio,0.9992569968263726,,,,,,,,,,,
2,mean_nees,0.9985173654804983,,,,,,,,,,,
2,pct_in_95_band,94.795,,,,,,,,,,,
3,cumulative_average,,,3.0474212375765823,,,,,,,,,
3,sliding_window,,,0.3526222303029798,,,,,,,,,
3,kalman,,,0.24253407440460725,,,,,,,,,
3,raw_sensor_B,,,0.48446717500064157,,,,,,,,,
3,kalman_rate,,,0.048297537271906034,,,,,,,,,
4,q_sweep,,,0.7585459074799218,1e-06,2.3569764716592156,,,,,,,
4,q_sweep,,,0.6695061878622722,1.778279410038923e-06,2.015412933558442,,,,,,,
4,q_sweep,,,0.5737146490237154,3.162277660168379e-06,1.7674641982429027,,,,,,,
4,q_sweep,,,0.46786770816707585,5.623413251903491e-06,1.5134737380123007,,,,,,,
4,q_sweep,,,0.40563630048546345,1e-05,1.3015306386963073,,,,,,,
4,q_sweep,,,0.3341013798466343,1.778279410038923e-05,1.1914925616543115,,,,,,,
4,q_sweep,,,0.266108709435016,3.1622776601683795e-05,1.0949395894493634,,,,,,,
4,q_sweep,,,0.24370587426530313,5.623413251903491e-05,1.0637359510556261,,,,,,,
4,q_sweep,,,0.21489457167972814,0.0001,1.0149862167798809,,,,,,,
4,q_sweep,,,0.21433119987949692,0.00017782794100389227,0.9987974747075158,,,,,,,
4,q_sweep,,,0.20962526083264593,0.00031622776601683794,0.9720904687196417,,,,,,,
4,q_sweep,,,0.22451591227491988,0.0005623413251903491,0.9591409442791645,,,,,,,
4,q_sweep,,,0.2309789522265982,0.001,0.9529621264527656,,,,,,,
4,q_sweep,,,0.2434945035982573,0.0017782794100389228,0.937018295024182,,,,,,,
4,q_sweep,,,0.26389027734234854,0.0031622776601683794,0.9495157089025332,,,,,,,
4,q_sweep,,,0.27655299127127336,0.005623413251903491,0.9437472952996016,,,,,,,
4,q_sweep,,,0.3002159231628159,0.01,0.9152929632757366,,,,,,,
4,q_sweep,,,0.3098570672790203,0.01778279410038923,0.9158143142686489,,,,,,,
4,q_sweep,,,0.32983952125189725,0.03162277660168379,0.8799595668722981,,,,,,,
4,q_sweep,,,0.34870722829435574,0.05623413251903491,0.8879168992838758,,,,,,,
4,q_sweep,,,0.3658010336439996,0.1,0.839610468103546,,,,,,,
4,q_sweep,,,0.380247175954255,0.1778279410038923,0.8156394552372954,,,,,,,
4,q_sweep,,,0.39846669238716503,0.31622776601683794,0.8029103688202358,,,,,,,
4,q_sweep,,,0.41485345219180647,0.5623413251903491,0.7699346070668891,,,,,,,
4,q_sweep,,,0.4232294793814655,1.0,0.7650075815363913,,,,,,,
5,bias_sweep,,,,,,0.0,-0.00031884612180620663,0.03354101777581464,-0.009506155237665936,0.9959052898225162,1.0002901558625827,0.0022115944371903134
5,bias_sweep,,,,,,0.25,0.025225654825833423,0.03354101777581464,0.7520837618714968,1.0324921937554117,1.004603269779234,0.22172226965804667
5,bias_sweep,,,,,,0.5,0.05149375211915533,0.03354101777581464,1.535247155090381,1.103780131699489,0.998982710965489,0.4665076156017001
5,bias_sweep,,,,,,1.0,0.09875591396595321,0.03354101777581464,2.944332656391928,1.3737584058974677,1.0392719862057742,0.9113451453157617
5,bias_sweep,,,,,,2.0,0.19871127579563969,0.03354101777581464,5.924425940912385,2.455154723728482,1.1559374384326437,1.8077917758654252
6,steady_gain_pos,0.3448868470720577,,,,,,,,,,,
6,steady_gain_rate,0.07239409660617044,,,,,,,,,,,
6,kf_rmse,0.26232740792857817,,,,,,,,,,,
6,fixed_gain_rmse,0.2623515331134124,,,,,,,,,,,
7,rmse_no_gate,0.743059096128433,,,,,,,,,,,
7,rmse_with_gate,0.3871920952740082,,,,,,,,,,,
7,n_rejected,29.0,,,,,,,,,,,
7,first_rejection_after_failure,151.0,,,,,,,,,,,
7,false_rejections,1.0,,,,,,,,,,,
