section,name,gbs,pct_peak,sec
kernel,copy_scalar,200.3488894196322,78.18310182771613,0.00267968
kernel,copy_float4,205.4103290760702,80.15825154379614,0.002613651
kernel,read_only,222.48533688732405,86.82151320840256,0.001206531
kernel,write_only,216.48684072576415,84.48069146703459,0.001239962
kernel,triad,209.6592908557718,81.81634414638947,0.003841024
kernel,cudaMemcpy_D2D,202.69391447356003,79.09821212910529,0.002648678
blocksize,32,203.35033452923494,79.35437005542697,0.002640128
blocksize,64,202.67034706865195,79.08901530838378,0.002648986
blocksize,128,202.40658292484122,78.98608536964645,0.002652438
blocksize,256,203.72860316344784,79.50198362709472,0.002635226
blocksize,512,204.0031128404669,79.60910684646093,0.00263168
blocksize,1024,203.98280509220947,79.60118205708724,0.002631942
sweep,4096,6.864006864006864,2.678574107145536,1.193472e-06
sweep,8192,13.710368466152529,5.350262419671161,1.195008e-06
sweep,16384,26.983938759107737,10.530071006769688,1.214352e-06
sweep,32768,53.85222193005522,21.015009182245578,1.21696e-06
sweep,65536,108.43150231634678,42.31374185047249,1.2088e-06
sweep,131072,196.4567283191942,76.66424525443081,1.33436e-06
sweep,262144,323.79446640316206,126.35585758115403,1.6192e-06
sweep,524288,551.2786002691789,215.128075154993,1.90208e-06
sweep,1048576,683.9133837725019,266.8867787573762,3.0664e-06
sweep,2097152,196.45083932853717,76.66194716554429,2.13504e-05
sweep,4194304,200.6613594611145,78.30503850099687,4.18048e-05
sweep,8388608,200.58765915768853,78.2762780803917,8.364032e-05
sweep,16777216,202.1020170188981,78.86723316484223,0.0001660272
sweep,33554432,203.1494110353379,79.27596272295591,0.0003303424
sweep,67108864,203.55165586054275,79.43293263788662,0.0006593792
sweep,134217728,203.76525456665368,79.51628627882027,0.001317376
sweep,268435456,203.90478964841324,79.57073771869273,0.002632949
pcie,H2D_pageable,10.419513061564356,4.066056233440136,0.006440691
pcie,H2D_pinned,12.69485523344855,4.953973851714125,0.005286304
pcie,D2H_pageable,8.26875141465071,3.226754267080853,0.008115961
pcie,D2H_pinned,12.792067906805986,4.991909616479608,0.005246131
