kernel,variant,n,where,sec,gflops,gbs,speedup_vs_scalar,rel_error
sum,scalar,2048,L1,1.864290501e-06,1.0985412407033446,4.394164962813378,1.0,9.88641996957401e-07
sum,auto,2048,L1,1.839897101e-06,1.1131057268837994,4.4524229075351975,1.0132580240420739,9.88641996957401e-07
sum,fastmath,2048,L1,1.954397492e-07,10.478932808618238,41.91573123447295,9.538952585802848,1.3249300073697726e-07
sum,avx2,2048,L1,5.584715109e-08,36.67152146578727,146.6860858631491,33.38201617474844,1.3249300073697726e-07
sum,scalar,32768,L2,3.08279361e-05,1.0629320073100839,4.251728029240335,1.0,3.775986358212139e-06
sum,auto,32768,L2,3.075959503e-05,1.0652936089711582,4.261174435884633,1.0022217805511857,3.775986358212139e-06
sum,fastmath,32768,L2,3.747549976e-06,8.74384603537039,34.97538414148156,8.226157435505272,9.84210558143297e-08
sum,avx2,32768,L2,1.070832334e-06,30.600495483357342,122.40198193342937,28.788760967690393,5.04459020092686e-07
sum,scalar,1048576,L3,0.00100478407,1.0435834238494643,4.174333695397857,1.0,0.0001893214269057907
sum,auto,1048576,L3,0.0009983889649,1.0502680186424405,4.201072074569762,1.0064054244636413,0.0001893214269057907
sum,fastmath,1048576,L3,0.0001225823421,8.554054213979649,34.216216855918596,8.196809204218981,9.803148278482735e-07
sum,avx2,1048576,L3,5.826036846e-05,17.998101071398544,71.99240428559418,17.24644207648391,3.6507874358034663e-06
sum,scalar,33554432,DRAM,0.032815007,1.0225331355254625,4.09013254210185,1.0,0.15220437633975847
sum,auto,33554432,DRAM,0.03268696766,1.0265385382034546,4.106154152813819,1.0039171372925082,0.15220437633975847
sum,fastmath,33554432,DRAM,0.007110389338,4.719070982607844,18.876283930431377,4.615078786843219,0.013278802969713859
sum,avx2,33554432,DRAM,0.006775140675,4.952580855452126,19.810323421808505,4.843442900172696,0.00018916308564149233
poly,scalar,2048,L1,1.059722675e-05,7.730324351132714,0.7730324351132715,1.0,9.335971305957756e-07
poly,auto,2048,L1,2.57275055e-06,31.841408021465583,3.1841408021465583,4.119026133334224,9.335971305957756e-07
poly,fastmath,2048,L1,2.436401699e-06,33.623355308619,3.3623355308619,4.34954004273989,1.4095107880644876e-08
poly,avx2,2048,L1,1.73974185e-06,47.08744576099034,4.7087445760990345,6.091263913666272,6.949648300980476e-08
poly,avx2_ilp,2048,L1,9.190589e-07,89.13465720205745,8.913465720205746,11.530519697921429,6.949648300980476e-08
poly,scalar,32768,L2,0.0001726233348,7.592947972639907,0.7592947972639907,1.0,6.350953892259666e-05
poly,auto,32768,L2,4.001531131e-05,32.75546177426453,3.275546177426453,4.313932071218466,6.350953892259666e-05
poly,fastmath,32768,L2,3.957064692e-05,33.123542373463934,3.3123542373463932,4.362408710400735,1.4187209473873119e-06
poly,avx2,32768,L2,2.830851584e-05,46.301261691294656,4.630126169129465,6.0979295338430575,1.5030433628028754e-06
poly,avx2_ilp,32768,L2,1.419847898e-05,92.31411349386666,9.231411349386665,12.157875152905993,3.520497763395236e-07
poly,scalar,1048576,L3,0.005636558956,7.441249231563967,0.7441249231563968,1.0,0.004974815230872346
poly,auto,1048576,L3,0.001289115693,32.536288424502175,3.2536288424502176,4.372422883847401,0.004974815230872346
poly,fastmath,1048576,L3,0.001269137105,33.04847036207329,3.3048470362073292,4.441252985035057,0.0002443876946520326
poly,avx2,1048576,L3,0.0009238076406,45.40235234767986,4.5402352347679855,6.10144223567921,0.0002443876946520326
poly,avx2_ilp,1048576,L3,0.0004668955174,89.83388881856932,8.983388881856932,12.072420372310047,5.942986121098417e-05
poly,scalar,33554432,DRAM,0.1805338997,7.434488936594993,0.7434488936594993,1.0,0.2844639700026044
poly,auto,33554432,DRAM,0.042897714,31.287850909724465,3.1287850909724466,4.208473665986024,0.2844639700026044
poly,fastmath,33554432,DRAM,0.04241042334,31.647344551123737,3.1647344551123733,4.256828521910245,0.049047629930035065
poly,avx2,33554432,DRAM,0.03382799867,39.67652042005949,3.9676520420059487,5.336818812757746,0.04904771427817056
poly,avx2_ilp,33554432,DRAM,0.01721411734,77.96956727378739,7.796956727378738,10.487549035145591,0.004889713144142829
