condition,acc,joint_head_acc,trainable_params,seconds
rgb-ceiling,0.9959999918937683,,5130,1.2314751148223877
naive-frozen,0.7820000052452087,,5130,40.12041902542114
input-adapter,0.777999997138977,0.742,7661,427.57298588752747
bottleneck-adapter,0.8420000076293945,0.844,622986,341.68812465667725
scratch-cnn,0.338,0.338,626314,64.17250418663025
