arm,numbers_per_clip,steps_in_budget,ms_per_step,seconds,sampling_seconds,fid_proxy
pixel,65536,59,5147.3,304,220.6,53472.62
latent,1024,8974,33.4,300,1.3,90.44
VAE reconstruction (floor),1024,,,,,30.88
real clips (sanity check),,,,,,4.72
