resident_blocks,resident_frac,median_step_s,fetches,fetch_s,writes_skipped,resident_bytes
8,1.0,0.09596936652087606,0,0.0,0,12779520
4,0.5,0.12544888502452523,864,0.2619496683473699,768,6488064
2,0.25,0.1401400500035379,1296,0.3827180748921819,1248,3342336
1,0.125,0.14092905347933993,1512,0.4257750564138405,1488,1769472
