ctx,prefill_s,save_s,load_s,bytes,recompute_vs_reload
256,0.6107843449572101,0.11498998303432018,0.014490527973975986,6291456,42.150592859979824
512,1.509069013001863,0.11107710201758891,0.0165284049580805,12582912,91.301551288777
1024,3.7497860489529558,0.13088884099852294,0.02859944204101339,25165824,131.11395822252504
2048,9.958231062046252,0.19119010196300223,0.05440790898865089,50331648,183.02910821519478
