experiment,where,mean_abs_e,max_abs_e,lap_time,L,w_rate,diverged,best_L,R,steady_offset,sagitta_prediction,cut_distance,omega_needed,v,min_stable_L,adaptive_L,adaptive_e,fixed_L,fixed_e,v0.5,v1.0,v1.5,v2.0,v2.5,pose_sigma,ctrl_hz,tuned_on,tracker,gain,evaluated_on,scenario,finished
7_transfer,,0.0142,,,,1.893,,,,,,,,,,,,,,,,,,,,,noisy,pure pursuit,0.5,noisy,,
7_transfer,,0.0566,,,,0.141,,,,,,,,,,,,,,,,,,,,,noisy,Stanley,4.0,clean,,
7_transfer,,0.0682,,,,1.791,,,,,,,,,,,,,,,,,,,,,noisy,Stanley,4.0,noisy,,
7_transfer,,0.1357,,,,0.495,,,,,,,,,,,,,,,,,,,,,noisy,heading P,14.0,clean,,
7_transfer,,0.15,,,,2.734,,,,,,,,,,,,,,,,,,,,,noisy,heading P,14.0,noisy,,
7_trackers,,0.0005,0.0015,,,0.146,,,,,,,,,,,,,,,,,,,,,,pure pursuit,,,nominal,1
7_trackers,,0.0269,0.0976,,,0.188,,,,,,,,,,,,,,,,,,,,,,Stanley,,,nominal,1
7_trackers,,0.1357,0.5876,,,0.495,,,,,,,,,,,,,,,,,,,,,,heading P,,,nominal,1
7_trackers,,1.0254,3.0027,,,1.483,,,,,,,,,,,,,,,,,,,,,,pure pursuit,,,start 1.2 m off the path,0
7_trackers,,0.4974,1.36,,,1.423,,,,,,,,,,,,,,,,,,,,,,Stanley,,,start 1.2 m off the path,1
7_trackers,,0.7974,1.2861,,,2.468,,,,,,,,,,,,,,,,,,,,,,heading P,,,start 1.2 m off the path,1
7_trackers,,0.4801,1.5013,,,3.787,,,,,,,,,,,,,,,,,,,,,,pure pursuit,,,pose noise 5 cm,1
7_trackers,,0.453,1.089,,,1.87,,,,,,,,,,,,,,,,,,,,,,Stanley,,,pose noise 5 cm,1
7_trackers,,0.15,0.5572,,,2.734,,,,,,,,,,,,,,,,,,,,,,heading P,,,pose noise 5 cm,1
7_trackers,,0.343,1.3909,,,1.589,,,,,,,,,,,,,,,,,,,,,,pure pursuit,,,120 ms actuator lag,1
7_trackers,,0.4287,1.0581,,,1.344,,,,,,,,,,,,,,,,,,,,,,Stanley,,,120 ms actuator lag,1
7_trackers,,0.1924,0.7007,,,0.596,,,,,,,,,,,,,,,,,,,,,,heading P,,,120 ms actuator lag,1
