experiment,where,mean_abs_e,max_abs_e,lap_time,L,w_rate,diverged,best_L,R,steady_offset,sagitta_prediction,cut_distance,omega_needed,v,min_stable_L,adaptive_L,adaptive_e,fixed_L,fixed_e,v0.5,v1.0,v1.5,v2.0,v2.5,pose_sigma,ctrl_hz,tuned_on,tracker,gain,evaluated_on,scenario,finished
6_rate,,,0.0237,,0.5,1.058,0,,,,,,,,,,,,,,,,,,0.02,20.0,,,,,,
6_rate,,,0.0193,,0.65,0.641,0,,,,,,,,,,,,,,,,,,0.02,20.0,,,,,,
6_rate,,,0.0274,,0.8,0.436,0,,,,,,,,,,,,,,,,,,0.02,20.0,,,,,,
6_rate,,,0.0424,,1.0,0.293,0,,,,,,,,,,,,,,,,,,0.02,20.0,,,,,,
6_rate,,,0.0622,,1.2,0.214,0,,,,,,,,,,,,,,,,,,0.02,20.0,,,,,,
6_rate,,,0.1175,,1.6,0.134,0,,,,,,,,,,,,,,,,,,0.02,20.0,,,,,,
6_rate,,,0.1958,,2.0,0.096,0,,,,,,,,,,,,,,,,,,0.02,20.0,,,,,,
6_min_stable_L,,,,,,,,,,,,,,,0.4,,,,,,,,,,0.02,20.0,,,,,,
6_rate,,,1.5103,,0.15,3.524,1,,,,,,,,,,,,,,,,,,0.02,10.0,,,,,,
6_rate,,,1.5005,,0.2,1.978,1,,,,,,,,,,,,,,,,,,0.02,10.0,,,,,,
6_rate,,,1.5101,,0.25,1.481,1,,,,,,,,,,,,,,,,,,0.02,10.0,,,,,,
6_rate,,,1.5084,,0.3,1.121,1,,,,,,,,,,,,,,,,,,0.02,10.0,,,,,,
6_rate,,,1.5129,,0.4,0.819,1,,,,,,,,,,,,,,,,,,0.02,10.0,,,,,,
6_rate,,,1.5128,,0.5,0.581,1,,,,,,,,,,,,,,,,,,0.02,10.0,,,,,,
6_rate,,,0.0239,,0.65,0.191,0,,,,,,,,,,,,,,,,,,0.02,10.0,,,,,,
6_rate,,,0.02,,0.8,0.126,0,,,,,,,,,,,,,,,,,,0.02,10.0,,,,,,
6_rate,,,0.0357,,1.0,0.082,0,,,,,,,,,,,,,,,,,,0.02,10.0,,,,,,
6_rate,,,0.0551,,1.2,0.061,0,,,,,,,,,,,,,,,,,,0.02,10.0,,,,,,
6_rate,,,0.1077,,1.6,0.039,0,,,,,,,,,,,,,,,,,,0.02,10.0,,,,,,
6_rate,,,0.1857,,2.0,0.029,0,,,,,,,,,,,,,,,,,,0.02,10.0,,,,,,
6_min_stable_L,,,,,,,,,,,,,,,0.65,,,,,,,,,,0.02,10.0,,,,,,
6_rate,,,1.5041,,0.15,1.424,1,,,,,,,,,,,,,,,,,,0.02,5.0,,,,,,
6_rate,,,1.5021,,0.2,0.824,1,,,,,,,,,,,,,,,,,,0.02,5.0,,,,,,
6_rate,,,1.5062,,0.25,0.654,1,,,,,,,,,,,,,,,,,,0.02,5.0,,,,,,
6_rate,,,1.5093,,0.3,0.541,1,,,,,,,,,,,,,,,,,,0.02,5.0,,,,,,
6_rate,,,1.5025,,0.4,0.361,1,,,,,,,,,,,,,,,,,,0.02,5.0,,,,,,
6_rate,,,1.5042,,0.5,0.223,1,,,,,,,,,,,,,,,,,,0.02,5.0,,,,,,
6_rate,,,1.5041,,0.65,0.17,1,,,,,,,,,,,,,,,,,,0.02,5.0,,,,,,
6_rate,,,0.0293,,0.8,0.043,0,,,,,,,,,,,,,,,,,,0.02,5.0,,,,,,
6_rate,,,0.0362,,1.0,0.027,0,,,,,,,,,,,,,,,,,,0.02,5.0,,,,,,
6_rate,,,0.0514,,1.2,0.019,0,,,,,,,,,,,,,,,,,,0.02,5.0,,,,,,
6_rate,,,0.0966,,1.6,0.013,0,,,,,,,,,,,,,,,,,,0.02,5.0,,,,,,
6_rate,,,0.1649,,2.0,0.011,0,,,,,,,,,,,,,,,,,,0.02,5.0,,,,,,
6_min_stable_L,,,,,,,,,,,,,,,0.8,,,,,,,,,,0.02,5.0,,,,,,
6_rate,,,1.5003,,0.15,0.345,1,,,,,,,,,,,,,,,,,,0.02,2.5,,,,,,
