n,cpu_sec,cpu_gflops,gpu_sec,gpu_gflops,gpu_total_sec,h2d,d2h,speedup,speedup_with_copy,pct_peak,transfer_share
64,7.320614968193695e-06,71.6180269387073,3.812736034e-06,137.50965063531066,2.764800005e-05,1.367039979e-05,4.908800125e-06,1.9200424322356051,0.26477918673881423,1.6797919529480012,82.97272713407224
128,1.910640494315885e-05,219.5234536522159,4.319231987e-06,971.0763424201322,3.699199855e-05,1.792639941e-05,8.518400043e-06,4.423565346956403,0.516501018925317,11.862485419453487,85.96012360920926
256,7.814124369399011e-05,429.407447511367,1.274944554e-05,2631.8346076091398,9.052799642e-05,4.821760058e-05,2.352000028e-05,6.12899152742215,0.8631721322038082,32.14999510890078,84.90958545332695
512,0.0004396510713766994,610.5647716481978,5.704456994e-05,4705.714431405879,0.0003145279884,0.0001732543945,8.373119831e-05,7.707150248290564,1.397812237992552,57.484119828874555,81.83468446455785
1024,0.004701851333569114,456.7315075804137,0.0003857066631,5567.66022847584,0.001369279981,0.0006641536236,0.0003328639984,12.190225846189469,3.433812951924778,68.01348709223426,72.10530926112249
2048,0.03701864700027121,464.08690149788936,0.002533034643,6782.3269734886135,0.006484447956,0.002664384079,0.001314419174,14.614346907008018,5.708835547984959,82.85162691994213,61.1010795499692
4096,0.26482999199652113,518.970500417511,0.01872008514,7341.791046576405,0.03473292923,0.01055409317,0.005249030304,14.146836940962821,7.624752586884568,89.68593450195166,45.77536129591225
8192,2.054007289329699,535.3007428395314,0.1626641032,6759.3993151895365,0.2259111328,0.04259088745,0.0207836731,12.6272929854981,9.092103004716105,82.57154697113278,28.037044414708014
