op,ai,flops,bytes,bound,pred_sec,meas_sec,pct_of_roof,achieved_gflops,achieved_gbs
matmul,682.6666666666666,137438953472,201326592,compute,0.016789283297369985,0.01909678,87.91682837300311,7196.970037461812,10.542436578313202
layernorm,1.0,268435456,268435456,memory,0.0010475284715284715,0.001441677,72.66041363831646,186.19666957300421,186.19666957300421
softmax,0.625,167772160,268435456,memory,0.0010475284715284715,0.001447456,72.37031533452289,115.90829703977185,185.45327526363494
gelu,1.0,268435456,268435456,memory,0.0010475284715284715,0.001368678,76.53578646902132,196.12754497405527,196.12754497405527
transpose,0.0,0,536870912,memory,0.002095056943056943,0.005737912,36.51253178955939,0.0,93.5655534626533
