step,greedy_accuracy
0,0.005
75,0.0225
150,0.0425
225,0.07
300,0.0625
375,0.085
450,0.0825
525,0.1
600,0.1125
675,0.13
750,0.16
825,0.175
900,0.315
975,0.665
1050,0.8925
1125,0.76
1200,0.9075
1275,0.93
1350,0.92
1425,0.94
1500,0.9075
