dtype,bytes,exponent_bits,mantissa_bits,eps,max,smallest_normal,decimal_digits
torch.float64,8,11,52,2.220446049250313e-16,1.7976931348623157e+308,2.2250738585072014e-308,15.95
torch.float32,4,8,23,1.1920928955078125e-07,3.4028234663852886e+38,1.1754943508222875e-38,7.22
torch.bfloat16,2,8,7,0.0078125,3.3895313892515355e+38,1.1754943508222875e-38,2.41
torch.float16,2,5,10,0.0009765625,65504.0,6.103515625e-05,3.31
