patch,tokens,numbers_per_token,params,forward_ms
1x1x1,256,4,1551364,27.2
1x2x2,64,16,1554448,11.2
2x2x2,32,32,1558560,9.0
1x4x4,16,64,1566784,5.2
4x4x4,4,256,1616128,4.4
