tag,batch,steps,direction,alignment,final_loss,gallery,gap,i2t_r1,i2t_r10,i2t_r5,lr,matched_cos,mismatched_cos,pair_views,t2i_r1,t2i_r10,t2i_r5,uniformity_img,uniformity_txt,wall_seconds
dir_both,128,450,both,1.3557,4.1433,500,0.8023,0.014,0.128,0.064,0.0003,0.3221,0.2242,57600,0.024,0.12,0.062,-1.6608,-1.3881,68.6
dir_rows,128,450,rows,1.0918,4.1246,500,0.554,0.016,0.114,0.062,0.0003,0.4541,0.352,57600,0.01,0.116,0.058,-2.2246,-1.0704,53.4
