tag,batch,steps,direction,alignment,final_loss,gallery,gap,i2t_r1,i2t_r10,i2t_r5,lr,matched_cos,mismatched_cos,pair_views,t2i_r1,t2i_r10,t2i_r5,uniformity_img,uniformity_txt,wall_seconds
steps32,32,300,both,1.8613,3.2489,500,1.1196,0.002,0.058,0.042,0.0001,0.0693,0.0393,9600,0.0,0.078,0.038,-1.6227,-0.2291,17.8
steps128,128,300,both,1.4294,4.342,500,0.9322,0.01,0.108,0.064,0.0003,0.2853,0.2096,38400,0.016,0.096,0.066,-1.4059,-0.9278,39.6
steps512,512,300,both,1.4029,5.0651,500,0.6083,0.026,0.158,0.094,0.0006,0.2985,0.1601,153600,0.042,0.168,0.116,-2.2344,-2.2003,136.9
