experiment,name,value,mode,variance,zero_frac,pos_err,final_ess,distinct,n,model,success_pct,err,ms_per_step,inject,recovered_pct,err_after,err_before,model_sigma,ess,modes,mean_pose_err,nearest_particle_err,weight_near_truth
1,n_particles,5000,,,,,,,,,,,,,,,,,,,,,
1,ms_per_step,51.469436287879944,,,,,,,,,,,,,,,,,,,,,
1,err_after_1,0.06724872599934502,,,,,,,,,,,,,,,,,,,,,
1,err_after_3,0.07652402918045714,,,,,,,,,,,,,,,,,,,,,
1,err_after_10,0.05862229505648672,,,,,,,,,,,,,,,,,,,,,
1,settled_err,0.0507822739817826,,,,,,,,,,,,,,,,,,,,,
1,converge_step,0.0,,,,,,,,,,,,,,,,,,,,,
2,offspring_variance,,multinomial,0.9846190600000003,0.56398,,,,,,,,,,,,,,,,,,
2,offspring_variance,,stratified,0.21379013499999996,0.4972675,,,,,,,,,,,,,,,,,,
2,offspring_variance,,systematic,0.1288039124999999,0.4782925,,,,,,,,,,,,,,,,,,
2,resampling,,never,,,0.4548223157135046,1.015683005462398,800.0,,,,,,,,,,,,,,,
2,resampling,,multinomial,,,0.033603246584750765,106.11082664392578,133.3,,,,,,,,,,,,,,,
2,resampling,,stratified,,,0.03307021221145871,116.44480817415156,247.4,,,,,,,,,,,,,,,
2,resampling,,systematic,,,0.033436727947600636,88.85861563281736,195.1,,,,,,,,,,,,,,,
3,particle_count,,,,,,,,500,sharp,16.666666666666668,9.332849507407802,3.1241700053215027,,,,,,,,,,
3,particle_count,,,,,,,,500,broad,33.333333333333336,8.99602554681379,3.0415569742520647,,,,,,,,,,
3,particle_count,,,,,,,,1000,sharp,0.0,14.40865094821204,4.984221359093985,,,,,,,,,,
3,particle_count,,,,,,,,1000,broad,66.66666666666667,3.1933888319958186,7.070699334144593,,,,,,,,,,
3,particle_count,,,,,,,,2500,sharp,0.0,12.692600774810982,16.659256319204964,,,,,,,,,,
3,particle_count,,,,,,,,2500,broad,100.0,0.04376038988652254,21.894440054893494,,,,,,,,,,
3,particle_count,,,,,,,,5000,sharp,66.66666666666667,5.513701144295063,49.70906674861908,,,,,,,,,,
3,particle_count,,,,,,,,5000,broad,100.0,0.04369362323506024,54.24800664186478,,,,,,,,,,
3,particle_count,,,,,,,,10000,sharp,66.66666666666667,4.845230679947448,104.55347051223119,,,,,,,,,,
3,particle_count,,,,,,,,10000,broad,100.0,0.0416223331699428,112.80320932467778,,,,,,,,,,
4,kidnap,,,,,,,,,,,,,0.0,33.333333333333336,6.215113220950463,0.04720163393059019,,,,,,
4,kidnap,,,,,,,,,,,,,0.005,66.66666666666667,3.967475006802768,0.06099321728866967,,,,,,
4,kidnap,,,,,,,,,,,,,0.05,83.33333333333333,0.38955216110862056,0.332620036369775,,,,,,
4,kidnap,,,,,,,,,,,,,0.2,0.0,1.2587383699281245,1.2833663703432736,,,,,,
4,kidnap,,,,,,,,,,,,,adaptive,83.33333333333333,3.0796910149955683,0.0910262416596368,,,,,,
5,sensor_sharpness,,,,,,,170.375,,,100.0,0.10976175429273827,,,,,,0.02,75.70139342743695,,,,
5,sensor_sharpness,,,,,,,256.5,,,100.0,0.05315268176191046,,,,,,0.05,92.54989814145512,,,,
5,sensor_sharpness,,,,,,,282.375,,,100.0,0.03342343917317772,,,,,,0.15,132.96293254170018,,,,
5,sensor_sharpness,,,,,,,530.0,,,100.0,0.039614462558987235,,,,,,0.4,318.5757002673911,,,,
5,sensor_sharpness,,,,,,,605.75,,,100.0,0.05615563901230049,,,,,,1.0,442.91998386070674,,,,
6,sensor_model,,,,,,,,,beam,100.0,0.03162523230638472,7.17670977115631,,,,,,,,,,
6,sensor_model,,,,,,,,,field,100.0,0.07949178097573115,1.1713590224583943,,,,,,,,,,
7,symmetric,,,,,,,,,,,,,,,,,,,1.25,0.10459365621606814,0.0016607250018085967,0.9993879979245034
